localidad;Distancia en Kms Capital;Distancia en kms a la costa
Agron;36.41;67.9
Alamedilla;72.89;106.9
Albolote; 9.78;71.1
Albondon; 114.59;43.9
Albunan; 63.81;41.6
Albunol; 103.82;102.1
Albunuelas; 38.29;111.9
Aldeire; 75.00;73.5
Alfacar; 8.37;118.9
Algarinejo; 74.64;46.4
Alhama de granada; 57.12;19.6
Alhendin; 11.84;101.7
Alicun de ortega; 99.69;80.8
Almegijar; 82.82;60.8
Almunecar; 78.91;44.8
Alpujarra de la sierra; 106.56;69.0
Alquife; 77.21;62.6
Arenas del rey; 52.13;25.7
Armilla; 8.12;142.7
Atarfe; 10.45;108.3
Baza; 96.15;108.5
Beas de granada; 16.19;100.4
Beas de guadix; 51.45;163.1
Benalua; 56.36;41.1
Benalua de las villas; 51.18;49.9
Benamaurel; 109.41;36.8
Berchules; 103.60;74.8
Bubion; 72.10;63.0
Busquistar; 78.88;56.8
Cacin; 43.54;8.5
Cadiar; 95.07;77.2
Cajar; 11.52;113.3
la calahorra; 72.59;146.4
Calicasas; 15.92;166.1
Campotejar; 45.29;43.9
Canar; 61.86;35.9
Caniles; 107.43;3.9
Capileira; 73.77;46.2
Carataunas; 60.57;14.0
Castaras; 93.03;170.1
Castillejar; 124.49;187.6
Castril; 141.25;64.4
Cenes de la vega; 13.07;73.2
Chauchina; 17.26;82.3
Chimeneas; 25.10;38.2
Churriana de la vega; 7.81;60.6
Cijuela; 20.08;73.6
Cogollos de guadix; 64.54;97.7
Cogollos de la vega; 14.24;98.7
Colomera; 29.83;39.2
Cortes de baza; 118.10;96.3
Cortes y graena; 50.44;152.8
Cuevas del campo; 102.58;100.9
Cullar; 117.46;53.8
Cullar vega; 8.48;41.2
Darro; 43.17;107.2
Dehesas de guadix; 95.87;102.7
Deifontes; 24.16;86.8
Diezma; 34.02;39.0
Dilar; 19.39;95.8
Dolar; 76.43;45.7
Dudar; 19.60;43.2
Durcal; 32.97;106.3
Escuzar; 27.62;61.7
Ferreira; 74.90;139.4
Fonelas; 57.00;72.2
Freila; 95.36;73.8
Fuente vaqueros; 20.89;57.1
las gabias; 9.05;189.0
Galera; 137.47;118.4
Gobernador; 58.57;126.7
Gojar; 11.29;65.3
Gor; 72.47;97.9
Gorafe; 81.13;15.5
Granada; 0.00;114.4
Guadahortuna; 57.42;197.8
Guadix; 52.61;91.1
Guajares los; 65.65;60.1
Gualchos; 88.55;91.4
Guejar sierra; 24.26;14.3
Guevejar; 9.44;11.3
Huelago; 55.54;127.0
Hueneja; 78.80;95.9
Huescar; 143.82;56.6
Huetor de santillan; 12.75;51.6
Huetor tajar; 43.07;109.0
Huetor vega; 10.57;23.1
Illora; 34.55;61.6
Itrabo; 72.43;95.7
Iznalloz; 37.36;21.6
Jayena; 45.31;56.6
Jerez del marquesado; 68.21;32.2
Jete; 79.01;103.5
Jun; 4.92;14.0
Juviles; 97.13;86.5
Lachar; 22.78;58.1
Lanjaron; 45.35;37.1
Lanteira; 80.37;17.8
Lecrin; 34.94;64.2
Lentegi; 86.32;99.2
Lobras; 91.69;13.7
Loja; 53.49;103.9
Lugros; 60.58;85.0
Lujar; 93.67;66.8
la malaha; 129.68;97.2
Maracena; 4.34;43.6
Marchal; 49.27;68.2
Moclin; 33.56;36.6
Molvizar; 68.34;97.4
Monachil; 13.38;6.9
Montefrio; 50.86;59.8
Montejicar; 56.02;38.8
Montillana; 52.65;104.0
Moraleda de zafayona; 35.74;116.1
Morelabor; 54.62;75.7
Motril; 69.13;102.5
Murtas; 133.83;0.0
Nevada; 97.69;67.0
Niguelas; 33.93;62.6
Nivar; 12.85;57.6
Ogijares; 9.53;91.3
Orce; 138.18;55.6
Orgiva; 63.01;40.2
Otivar; 81.21;57.5
Otura; 15.00;193.5
Padul; 22.30;27.9
Pampaneira; 67.99;27.4
Pedro martinez; 68.97;48.8
Peligros; 8.63;46.1
la peza; 48.81;40.8
Pinar; 44.48;112.2
Pinar el; 46.17;67.9
Pinos genil; 16.50;81.7
Pinos puente; 20.30;72.9
Policar; 55.81;68.3
Polopos; 95.67;46.6
Portugos; 76.73;48.6
Puebla de don fadrique; 165.43;218.3
Pulianas; 5.29;97.9
Purullena; 47.22;27.6
Quentar; 21.94;19.7
Rubite; 96.19;87.9
Salar; 49.76;34.2
Salobrena; 67.63;7.6
Santa cruz del comercio; 49.19;68.1
Santa fe; 12.65;36.8
Soportujar; 63.32;46.7
Sorvilan; 98.98;37.5
Taha la; 75.41;89.6
Torre cardela; 60.93;102.6
Torvizcon; 75.54;6.1
Trevelez; 99.98;51.0
Turon; 148.38;65.3
Ugijar; 109.77;10.9
Valle del zalabi; 70.57;75.1
el valle; 41.42;74.7
Valor; 113.02;74.7
Vegas del genil; 14.02;67.1
Velez de benaudalla; 51.39;10.0
Ventas de huelma; 31.18;79.5
Villamena; 27.64;60.4
Villanueva de las torres; 88.89;138.0
Villanueva mesia; 43.53;87.9
Viznar; 9.12;84.9
Zafarraya; 73.58;94.2
Zagra; 69.89;145.8
Zubia la; 11.17;
Zujar; 98.35;
