municipio,comarca,precio_venta_eur_m2,precio_alquiler_eur_m2_mes,fuente,fecha
Sierra Nevada,Sierra Nevada,3081,,Idealista,2026-05
Almuñécar,Costa Tropical,3067,10.8,Idealista,2026-05
Granada Capital,Área Metropolitana,2645,10.7,Idealista,2026-05
Salobreña,Costa Tropical,2173,9.1,Idealista,2026-05
Armilla,Área Metropolitana,2144,9.0,Idealista,2026-05
Castell de Ferro,Costa Tropical,1917,,Idealista,2026-05
Churriana de la Vega,Área Metropolitana,1903,8.8,Idealista,2026-05
Alhendín,Área Metropolitana,1794,,Idealista,2026-05
Ogíjares,Área Metropolitana,1761,7.2,Idealista,2026-05
Maracena,Área Metropolitana,1758,,Idealista,2026-05
Huétor Vega,Área Metropolitana,1704,,Idealista,2026-05
Monachil,Sierra Nevada,1703,,Idealista,2026-05
Cájar,Área Metropolitana,1692,,Idealista,2026-05
Cenes de la Vega,Sierra Nevada,1648,,Idealista,2026-05
Otura,Área Metropolitana,1615,,Idealista,2026-05
Albolote,Área Metropolitana,1612,,Idealista,2026-05
Las Gabias,Área Metropolitana,1601,8.4,Idealista,2026-05
La Zubia,Área Metropolitana,1576,7.8,Idealista,2026-05
Cúllar Vega,Área Metropolitana,1573,,Idealista,2026-05
Motril,Costa Tropical,1491,7.8,Idealista,2026-05
Atarfe,Vega de Granada,1380,,Idealista,2026-05
Peligros,Área Metropolitana,1376,,Idealista,2026-05
Vegas del Genil,Vega de Granada,1323,,Idealista,2026-05
Vélez de Benaudalla,Costa Tropical,1299,,Idealista,2026-05
Belicena,Área Metropolitana,1281,,Idealista,2026-05
Güéjar Sierra,Sierra Nevada,1235,,Idealista,2026-05
Alfacar,Área Metropolitana,1218,,Idealista,2026-05
Padul,Sur de Granada,1066,,Idealista,2026-05
Santa Fe,Vega de Granada,1029,,Idealista,2026-05
Cijuela,Vega de Granada,985,,Idealista,2026-05
Albuñol,Costa Tropical,941,,Idealista,2026-05
Molvizar,Costa Tropical,911,,Idealista,2026-05
Fuente Vaqueros,Vega de Granada,863,,Idealista,2026-05
Guadix,Comarca de Guadix,839,,Idealista,2026-05
Itrabo,Costa Tropical,825,,Idealista,2026-05
Moraleda de Zafayona,Vega de Granada,808,,Idealista,2026-05
Huétor Tájar,Vega de Granada,785,,Idealista,2026-05
Loja,Comarca de Loja,772,,Idealista,2026-05
Alhama de Granada,Alhama,753,,Idealista,2026-05
Montefrío,Comarca de Loja,661,,Idealista,2026-05
Baza,Comarca de Baza,656,,Idealista,2026-05
Illora,Vega de Granada,559,,Idealista,2026-05
