OBJECTID,codigo_ine,UGL_SG,NOMBRE,area_m2,SHAPE.STLength(),uso_suelo
1,18001,2.0,,62405.076949095,1185.3824648304155,Residencial
2,18002,2.0,,150962.6123494,2758.682337403622,Residencial
3,18003,1.0,,1025643.98944358,9877.10601071608,Industrial
4,18003,3.0,,44954.68683737,4016.2934109009498,Terciario
5,18004,2.0,,213613.192790615,1948.351037674003,Residencial
6,18006,5.0,,2310.87566618,241.08328000763413,Sistemas Generales. Equipamientos
7,18006,5.0,,6225.240991195,345.964702899219,Sistemas Generales. Equipamientos
8,18006,1.0,,14795.825905905,1176.4890623275487,Industrial
9,18006,4.0,,940.70478983,234.67165183620634,Sistemas Generales. Espacios libres
10,18006,2.0,,7759.425632205,371.89893098367963,Residencial
11,18006,4.0,,7695.449579005,1157.9075312968298,Sistemas Generales. Espacios libres
12,18006,5.0,,3995.38174242,309.58444179012156,Sistemas Generales. Equipamientos
13,18006,2.0,,10586.5207745,492.2289977185838,Residencial
14,18006,4.0,,448.43245263,89.1246809602447,Sistemas Generales. Espacios libres
15,18006,4.0,,322.96411547,89.86065614106907,Sistemas Generales. Espacios libres
16,18006,5.0,,168.530584295,52.089548678234024,Sistemas Generales. Equipamientos
17,18006,4.0,,761.03755449,195.01691323011386,Sistemas Generales. Espacios libres
18,18006,4.0,,4357.17075957,297.4342108857588,Sistemas Generales. Espacios libres
19,18006,5.0,,124.827167655,44.807994854586866,Sistemas Generales. Equipamientos
20,18006,5.0,,732.647582685,138.3721733327072,Sistemas Generales. Equipamientos
21,18006,4.0,,326.179650575,79.45942084596997,Sistemas Generales. Espacios libres
22,18006,5.0,,748.478429645,112.39680110091307,Sistemas Generales. Equipamientos
23,18006,5.0,,215.99447609,60.698892055975854,Sistemas Generales. Equipamientos
24,18006,4.0,,3323.977081635,765.0824772853356,Sistemas Generales. Espacios libres
25,18006,2.0,,200276.75849116,7958.746518102965,Residencial
26,18006,2.0,,27307.13461737,1071.030656582436,Residencial
27,18006,5.0,,12552.906119125,505.2770956051138,Sistemas Generales. Equipamientos
28,18006,5.0,,281.834265835,87.30912534965476,Sistemas Generales. Equipamientos
29,18006,1.0,Polígono Industrial El Moreal,14533.51908217,648.9000112649719,Industrial
30,18006,5.0,,111.75218982,42.49050057646034,Sistemas Generales. Equipamientos
31,18006,4.0,,897.84042235,237.54077337909564,Sistemas Generales. Espacios libres
32,18006,4.0,,245.653110655,71.32146903838843,Sistemas Generales. Espacios libres
33,18006,2.0,,185964.65120546,5798.141279163937,Residencial
34,18006,5.0,,2908.93622981,232.9175967905797,Sistemas Generales. Equipamientos
35,18006,5.0,,1245.571946795,164.47812407008476,Sistemas Generales. Equipamientos
36,18006,5.0,,540.703182195,98.88937744312678,Sistemas Generales. Equipamientos
37,18006,2.0,,12833.79099723,474.18529373679627,Residencial
38,18006,5.0,,12272.322523305,441.8215983206112,Sistemas Generales. Equipamientos
39,18006,1.0,,33356.33663268,1310.31875851363,Industrial
40,18006,2.0,,66070.43358145,1643.6707300145763,Residencial
41,18006,2.0,,3594.00249556,251.04816984448144,Residencial
42,18006,2.0,,52566.6128412,2826.986123563446,Residencial
43,18006,5.0,,383.038378155,79.58770765305316,Sistemas Generales. Equipamientos
44,18006,5.0,,895.750571375,155.73730487111914,Sistemas Generales. Equipamientos
45,18006,2.0,,8679.057164145,558.9886855478861,Residencial
46,18007,2.0,,20108.55792657,753.1528355720277,Residencial
47,18007,5.0,EQ.04,2958.80490122,237.28745354702454,Sistemas Generales. Equipamientos
48,18007,5.0,EQ.02,2629.45043797,220.3656180664825,Sistemas Generales. Equipamientos
49,18007,4.0,EL.03,599.800411835,97.65033120501892,Sistemas Generales. Espacios libres
