codigo_ine,municipio,poblacion_2025,n_poligonos_residenciales,superficie_residencial_m2,superficie_residencial_ha,superficie_media_poligono_m2,superficie_mediana_poligono_m2,superficie_max_poligono_m2,perimetro_total_m,suelo_residencial_m2_por_hab
18905,"Gabias, Las",23584,1.0,3682034.79609754,368.20347960975397,3682034.79609754,3682034.79609754,3682034.79609754,40983.79038535671,156.1242705265239
18089,Guadix,18881,7.0,3460927.7047050353,346.0927704705035,494418.2435292908,118598.31068981,2848795.577879405,43493.53974159458,183.30213996637016
18022,Atarfe,20914,1.0,3364039.55098121,336.403955098121,3364039.55098121,3364039.55098121,3364039.55098121,37294.91923288099,160.85108305351488
18029,Benamaurel,2235,9.0,3295178.29285607,329.51782928560704,366130.92142845225,108955.231064285,1376322.68743883,32558.922140549806,1474.352703738734
18003,Albolote,19768,1.0,2949835.53132449,294.983553132449,2949835.53132449,2949835.53132449,2949835.53132449,42092.590074378,149.22276058905757
18122,Loja,20951,19.0,2865887.93162101,286.588793162101,150836.2069274216,59364.89483308,1489210.991495575,54607.5849722098,136.79003062483937
18173,Salobreña,12760,1.0,2549806.20594744,254.980620594744,2549806.20594744,2549806.20594744,2549806.20594744,37748.824768996055,199.8280725664138
18102,Íllora,9923,9.0,2251831.87769618,225.18318776961797,250203.5419662422,155067.84794378,826560.62501125,41696.83217624153,226.93055302793306
18023,Baza,20587,7.0,2195843.0783302747,219.58430783302748,313691.8683328964,40544.70963019,1948584.37551494,42292.24431097391,106.66163493128064
18021,Armilla,25300,3.0,2018746.3210302151,201.87463210302153,672915.440343405,122760.381248,1777167.558640775,31524.40495374272,79.79234470475159
18911,Vegas del Genil,12424,3.0,1945911.3832433552,194.59113832433553,648637.1277477851,507042.1827857,1126050.49204845,30172.43202648499,156.6251918257691
18062,Churriana de la Vega,16878,1.0,1834448.24297774,183.444824297774,1834448.24297774,1834448.24297774,1834448.24297774,15187.916314762771,108.68872158891693
18017,Almuñécar,27544,14.0,1697002.899240285,169.70028992402848,121214.49280287749,70834.0872488325,434641.187886985,39058.3288234256,61.61061934505827
18158,Pinos Puente,9807,4.0,1653602.592447675,165.36025924476752,413400.64811191877,358467.779578945,894986.912775925,38855.98331832877,168.6145194705491
18150,Padul,9667,1.0,1625682.434090665,162.5682434090665,1625682.434090665,1625682.434090665,1625682.434090665,19193.902320659738,168.16824600089635
18056,Cúllar,3978,1.0,1446821.41796356,144.682141796356,1446821.41796356,1446821.41796356,1446821.41796356,26160.163925939352,363.7057360391051
18068,Dílar,2384,2.0,1279643.76661701,127.96437666170101,639821.883308505,639821.883308505,1278853.553210095,15346.739262746582,536.7633249232425
18100,Huétor Tájar,10749,7.0,1256013.982699005,125.6013982699005,179430.5689570007,11955.434537775,1038148.994018585,24824.48939516503,116.84937972825425
18132,Moclín,3503,16.0,1244629.5201638849,124.46295201638848,77789.3450102428,24898.9302425425,252098.406286415,33566.824669597096,355.3038881427019
18127,Maracena,22294,4.0,1233802.696448645,123.38026964486451,308450.6741121613,31368.636630975,1169108.105312765,23592.454782178156,55.34236549962524
18014,Alhendín,10475,6.0,1176891.2085074452,117.68912085074452,196148.53475124086,56885.16925854,903540.70085517,17774.226437022084,112.35238267374179
18011,Alfacar,5834,1.0,1168742.807089185,116.8742807089185,1168742.807089185,1168742.807089185,1168742.807089185,21581.511910370948,200.3330145850506
18039,Caniles,3929,1.0,1139734.1608286,113.97341608286,1139734.1608286,1139734.1608286,1139734.1608286,14369.837907926109,290.0825046649529
18071,Dúrcal,7234,1.0,1066737.592864735,106.67375928647351,1066737.592864735,1066737.592864735,1066737.592864735,22615.52487161055,147.4616523174917
18036,Cájar,5511,1.0,970868.41718614,97.086841718614,970868.41718614,970868.41718614,970868.41718614,10763.56098432788,176.16919201345308
18053,Cortes de Baza,1769,8.0,959226.327450755,95.9226327450755,119903.29093134438,100042.6668687675,383662.36889697,25198.70554372349,542.2421297064755
18115,Láchar,3892,1.0,945575.919123405,94.5575919123405,945575.919123405,945575.919123405,945575.919123405,7349.554143394196,242.953730504472
18059,Chauchina,5817,1.0,940580.76074009,94.05807607400901,940580.76074009,940580.76074009,940580.76074009,19400.21415153733,161.69516258210245
18912,Cuevas del Campo,1841,1.0,861990.633089165,86.1990633089165,861990.633089165,861990.633089165,861990.633089165,13159.483462733971,468.2187034704861
18013,Alhama de Granada,5544,5.0,861031.63177184,86.103163177184,172206.326354368,32031.06669603,621286.61306241,18792.36401798147,155.30873588958153
18165,Pulianas,5659,1.0,774214.994427165,77.4214994427165,774214.994427165,774214.994427165,774214.994427165,11103.878002092655,136.8112730919182
18027,Benalúa,3381,1.0,760520.702073135,76.05207020731349,760520.702073135,760520.702073135,760520.702073135,12115.27916665106,224.9395747036779
18047,Cenes de la Vega,8254,1.0,727539.52340425,72.753952340425,727539.52340425,727539.52340425,727539.52340425,22931.943571925443,88.14387247446693
18907,Valle del Zalabí,2128,4.0,724412.3485637349,72.44123485637348,181103.08714093373,50093.6277912975,624157.337543275,15137.52433408827,340.41933673107843
18079,Fuente Vaqueros,4743,1.0,697791.062137475,69.7791062137475,697791.062137475,697791.062137475,697791.062137475,24159.85901318227,147.12019020397955
18105,Iznalloz,5179,2.0,689562.75089145,68.956275089145,344781.375445725,344781.375445725,621235.30667966,21264.060761602774,133.14592602653985
18045,Castilléjar,1284,1.0,684700.617528105,68.47006175281051,684700.617528105,684700.617528105,684700.617528105,8779.067149750521,533.2559326542874
18140,Motril,59862,9.0,676210.490344715,67.6210490344715,75134.49892719055,20184.56143568,299493.51438305,14295.567440057293,11.296155997873692
18138,Moraleda de Zafayona,3214,4.0,656131.18305812,65.613118305812,164032.79576453,103883.1601597075,448363.76160728,18973.613534993037,204.14784787122588
18147,Órgiva,5728,1.0,653391.71229874,65.33917122987401,653391.71229874,653391.71229874,653391.71229874,4574.226186843839,114.06978217505937
18135,Montefrío,5283,6.0,644935.961623935,64.4935961623935,107489.3269373225,13531.4453245175,443690.455622055,15376.01117799538,122.07760015595969
18146,Orce,1116,6.0,630004.49996642,63.000449996642,105000.74999440333,34961.3483370825,465735.6089709,14161.09195694852,564.520161260233
18048,Cijuela,3827,1.0,595273.93657457,59.527393657457004,595273.93657457,595273.93657457,595273.93657457,10020.645298112597,155.54584180156
18914,Valderrubio,2069,1.0,594343.28770578,59.434328770578,594343.28770578,594343.28770578,594343.28770578,6009.348174477993,287.26113470554856
18099,Huétor de Santillán,1964,1.0,583788.93253594,58.37889325359399,583788.93253594,583788.93253594,583788.93253594,13656.796305991327,297.24487399996946
18006,Albuñol,7388,10.0,575638.38780028,57.563838780028,57563.838780028,20070.4628073,200276.75849116,21446.925385258786,77.91532049272875
18164,Puebla de Don Fadrique,2195,2.0,560606.84290292,56.060684290291995,280303.42145146,280303.42145146,468676.136066425,11874.906469807434,255.40175075303873
18046,Castril,1927,5.0,547111.8837448651,54.711188374486504,109422.37674897301,127375.26591091,198150.109290805,14732.892877737144,283.9189848183005
18194,Zújar,2655,2.0,542368.16137027,54.236816137027,271184.080685135,271184.080685135,509441.100276205,10850.210897938225,204.28179335980036
18119,Lecrín,2244,1.0,529627.444430285,52.9627444430285,529627.444430285,529627.444430285,529627.444430285,27854.424608430712,236.01936026305037
18097,Huéneja,1180,4.0,504039.40004151996,50.403940004152,126009.85001037999,67273.0289847,312890.26520806,10249.070195838882,427.1520339334915
