codigo_ine,municipio,poblacion_2025,superficie_residencial_m2,n_poligonos,superficie_media_poligono,precio_m2,fuente,anio
18905,"Gabias, Las",23584,3682034.79609754,1,3682034.79609754,,,
18089,Guadix,18881,3460927.7047050353,7,494418.2435292908,,,
18022,Atarfe,20914,3364039.55098121,1,3364039.55098121,1369.0,Idealista,2026.0
18029,Benamaurel,2235,3295178.29285607,9,366130.92142845225,,,
18003,Albolote,19768,2949835.53132449,1,2949835.53132449,,,
18122,Loja,20951,2865887.93162101,19,150836.2069274216,770.0,Idealista,2026.0
18173,Salobreña,12760,2549806.20594744,1,2549806.20594744,2078.0,Idealista,2026.0
18102,Íllora,9923,2251831.87769618,9,250203.5419662422,,,
18023,Baza,20587,2195843.0783302747,7,313691.8683328964,655.0,Idealista,2026.0
18021,Armilla,25300,2018746.3210302151,3,672915.440343405,2120.0,Idealista,2026.0
18911,Vegas del Genil,12424,1945911.3832433552,3,648637.1277477851,,,
18062,Churriana de la Vega,16878,1834448.24297774,1,1834448.24297774,,,
18017,Almuñécar,27544,1697002.899240285,14,121214.49280287749,2999.0,Idealista,2026.0
18158,Pinos Puente,9807,1653602.592447675,4,413400.64811191877,,,
18150,Padul,9667,1625682.434090665,1,1625682.434090665,,,
18056,Cúllar,3978,1446821.41796356,1,1446821.41796356,,,
18068,Dílar,2384,1279643.76661701,2,639821.883308505,,,
18100,Huétor Tájar,10749,1256013.982699005,7,179430.5689570007,,,
18132,Moclín,3503,1244629.5201638849,16,77789.3450102428,,,
18127,Maracena,22294,1233802.696448645,4,308450.6741121613,,,
18014,Alhendín,10475,1176891.2085074452,6,196148.53475124086,,,
18011,Alfacar,5834,1168742.807089185,1,1168742.807089185,,,
18039,Caniles,3929,1139734.1608286,1,1139734.1608286,,,
18071,Dúrcal,7234,1066737.592864735,1,1066737.592864735,,,
18036,Cájar,5511,970868.41718614,1,970868.41718614,,,
18053,Cortes de Baza,1769,959226.327450755,8,119903.29093134438,,,
18115,Láchar,3892,945575.919123405,1,945575.919123405,,,
18059,Chauchina,5817,940580.76074009,1,940580.76074009,,,
18912,Cuevas del Campo,1841,861990.633089165,1,861990.633089165,,,
18013,Alhama de Granada,5544,861031.63177184,5,172206.326354368,,,
18165,Pulianas,5659,774214.994427165,1,774214.994427165,,,
18027,Benalúa,3381,760520.702073135,1,760520.702073135,,,
18047,Cenes de la Vega,8254,727539.52340425,1,727539.52340425,,,
18907,Valle del Zalabí,2128,724412.3485637349,4,181103.08714093373,,,
18079,Fuente Vaqueros,4743,697791.062137475,1,697791.062137475,,,
