codigo_ine,municipio,poblacion_2025,superficie_residencial_m2,n_poligonos,superficie_media_poligono,precio_m2,fuente,anio,superficie_residencial_ha,cluster,suelo_por_habitante,score_poblacion,score_superficie,score_suelo_hab,coopscore_v1,oportunidad,log_poblacion,score_log_poblacion,coopscore_v2,PCA1,PCA2
18905,"Gabias, Las",23584,3682034.79609754,1,3682034.79609754,,,,368.20347960975397,2,156.1242705265239,0.3919106924353408,1.0,0.09899010038421459,54.727023784586656,Alta,10.068366195718362,0.836061618729607,70.91721725878966,3.626685012044804,-2.81186772192822
18089,Guadix,18881,3460927.704705036,7,494418.2435292908,,,,346.0927704705036,2,183.3021399663702,0.3130793342161283,0.9395106607282148,0.11756618992895042,50.49979215348096,Media,9.845964366292462,0.7969180405620411,67.69874949619292,4.081035755655864,-0.7798079365513513
18022,Atarfe,20914,3364039.55098121,1,3364039.55098121,1369.0,Idealista,2026.0,336.403955098121,2,160.85108305351488,0.3471563385239444,0.9130044986458165,0.10222087949134463,50.00149648629133,Media,9.948221883876299,0.814915757321371,67.10730973274204,3.1631601388366493,-2.5396861425374713
18029,Benamaurel,2235,3295178.29285607,9,366130.92142845225,,,,329.51782928560704,2,1474.352703738734,0.03406024237751219,0.8941657903114045,1.0,66.78843888378155,Alta,7.71244383427499,0.42141021343349694,73.15221119823903,2.9493663904545757,0.5836486012048977
18003,Albolote,19768,2949835.53132449,1,2949835.53132449,,,,294.983553132449,2,149.22276058905757,0.3279471663956821,0.7996886962671601,0.09427291433414489,44.65415027258122,Media,9.891870333195937,0.8049976674629635,62.54583392622277,2.746676099777765,-2.284149807284421
18122,Loja,20951,2865887.93162101,19,150836.2069274216,770.0,Idealista,2026.0,286.588793162101,3,136.79003062483937,0.3477765299451885,0.7767227443045359,0.08577513618372694,44.0754597560489,Media,9.949989386187548,0.8152268445325703,61.938748236554744,5.791727780394499,2.873447826952389
18173,Salobreña,12760,2549806.20594744,1,2549806.20594744,2078.0,Idealista,2026.0,254.980620594744,2,199.8280725664138,0.21047955882599442,0.6902507337441001,0.1288616744579399,37.79026634828203,Media,9.454148923733976,0.7279570142852427,56.49859811390171,1.8704870835510583,-1.7868309483445113
18102,Íllora,9923,2251831.87769618,9,250203.5419662422,,,,225.18318776961797,2,226.93055302793306,0.1629259625538477,0.6087324517100041,0.14738623559220967,33.658664012781884,Media,9.202711344811691,0.6837030324263065,52.33841299670764,2.749584798206129,0.7783916980165885
18023,Baza,20587,2195843.0783302747,7,313691.8683328964,655.0,Idealista,2026.0,219.58430783302748,2,106.66163493128064,0.34167518731457114,0.5934153243445498,0.06518236023116332,35.94233940015402,Media,9.932463660772646,0.8121422493901096,54.88478533344271,3.227122617920669,-0.2203552581520074
18021,Armilla,25300,2018746.3210302151,3,672915.440343405,2120.0,Idealista,2026.0,201.87463210302153,2,79.79234470475159,0.4206741648368226,0.5449661056026698,0.046817184757926456,35.82338471194927,Media,10.138599199626192,0.8484228977959964,54.18115922688147,2.7967533065324086,-1.479958824466828
18911,Vegas del Genil,12424,1945911.3832433552,3,648637.1277477851,,,,194.59113832433553,2,156.6251918257691,0.2048475502438861,0.5250402984524696,0.09933248038314127,30.12701285690961,Media,9.427465850964829,0.7232606907550534,49.7901500856171,1.7055633078368213,-0.8969482840646971
