codigo_ine,n_poligonos_residenciales,superficie_residencial_m2,superficie_media_poligono_m2,superficie_mediana_poligono_m2,superficie_max_poligono_m2,perimetro_total_m,superficie_residencial_ha
18905,1,3682034.79609754,3682034.79609754,3682034.79609754,3682034.79609754,40983.79038535671,368.20347960975397
18089,7,3460927.7047050353,494418.2435292908,118598.31068981,2848795.577879405,43493.53974159458,346.0927704705035
18022,1,3364039.55098121,3364039.55098121,3364039.55098121,3364039.55098121,37294.91923288099,336.403955098121
18029,9,3295178.29285607,366130.92142845225,108955.231064285,1376322.68743883,32558.922140549806,329.51782928560704
18003,1,2949835.53132449,2949835.53132449,2949835.53132449,2949835.53132449,42092.590074378,294.983553132449
18122,19,2865887.93162101,150836.2069274216,59364.89483308,1489210.991495575,54607.5849722098,286.588793162101
18173,1,2549806.20594744,2549806.20594744,2549806.20594744,2549806.20594744,37748.824768996055,254.980620594744
18102,9,2251831.87769618,250203.5419662422,155067.84794378,826560.62501125,41696.83217624153,225.18318776961797
18023,7,2195843.0783302747,313691.8683328964,40544.70963019,1948584.37551494,42292.24431097391,219.58430783302748
18021,3,2018746.3210302151,672915.440343405,122760.381248,1777167.558640775,31524.40495374272,201.87463210302153
18911,3,1945911.3832433552,648637.1277477851,507042.1827857,1126050.49204845,30172.43202648499,194.59113832433553
18062,1,1834448.24297774,1834448.24297774,1834448.24297774,1834448.24297774,15187.916314762771,183.444824297774
18017,14,1697002.899240285,121214.49280287749,70834.0872488325,434641.187886985,39058.3288234256,169.70028992402848
18158,4,1653602.592447675,413400.64811191877,358467.779578945,894986.912775925,38855.98331832877,165.36025924476752
18150,1,1625682.434090665,1625682.434090665,1625682.434090665,1625682.434090665,19193.902320659738,162.5682434090665
18056,1,1446821.41796356,1446821.41796356,1446821.41796356,1446821.41796356,26160.163925939352,144.682141796356
18068,2,1279643.76661701,639821.883308505,639821.883308505,1278853.553210095,15346.739262746582,127.96437666170101
18100,7,1256013.982699005,179430.5689570007,11955.434537775,1038148.994018585,24824.48939516503,125.6013982699005
18132,16,1244629.5201638849,77789.3450102428,24898.9302425425,252098.406286415,33566.824669597096,124.46295201638848
18127,4,1233802.696448645,308450.6741121613,31368.636630975,1169108.105312765,23592.454782178156,123.38026964486451
18014,6,1176891.2085074452,196148.53475124086,56885.16925854,903540.70085517,17774.226437022084,117.68912085074452
18011,1,1168742.807089185,1168742.807089185,1168742.807089185,1168742.807089185,21581.511910370948,116.8742807089185
18039,1,1139734.1608286,1139734.1608286,1139734.1608286,1139734.1608286,14369.837907926109,113.97341608286
18071,1,1066737.592864735,1066737.592864735,1066737.592864735,1066737.592864735,22615.52487161055,106.67375928647351
18036,1,970868.41718614,970868.41718614,970868.41718614,970868.41718614,10763.56098432788,97.086841718614
18053,8,959226.327450755,119903.29093134438,100042.6668687675,383662.36889697,25198.70554372349,95.9226327450755
18115,1,945575.919123405,945575.919123405,945575.919123405,945575.919123405,7349.554143394196,94.5575919123405
18059,1,940580.76074009,940580.76074009,940580.76074009,940580.76074009,19400.21415153733,94.05807607400901
18912,1,861990.633089165,861990.633089165,861990.633089165,861990.633089165,13159.483462733971,86.1990633089165
18013,5,861031.63177184,172206.326354368,32031.06669603,621286.61306241,18792.36401798147,86.103163177184
18165,1,774214.994427165,774214.994427165,774214.994427165,774214.994427165,11103.878002092655,77.4214994427165
18027,1,760520.702073135,760520.702073135,760520.702073135,760520.702073135,12115.27916665106,76.05207020731349
18047,1,727539.52340425,727539.52340425,727539.52340425,727539.52340425,22931.943571925443,72.753952340425
18907,4,724412.3485637349,181103.08714093373,50093.6277912975,624157.337543275,15137.52433408827,72.44123485637348
18079,1,697791.062137475,697791.062137475,697791.062137475,697791.062137475,24159.85901318227,69.7791062137475
18105,2,689562.75089145,344781.375445725,344781.375445725,621235.30667966,21264.060761602774,68.956275089145
18045,1,684700.617528105,684700.617528105,684700.617528105,684700.617528105,8779.067149750521,68.47006175281051
18140,9,676210.490344715,75134.49892719055,20184.56143568,299493.51438305,14295.567440057293,67.6210490344715
18138,4,656131.18305812,164032.79576453,103883.1601597075,448363.76160728,18973.613534993037,65.613118305812
18147,1,653391.71229874,653391.71229874,653391.71229874,653391.71229874,4574.226186843839,65.33917122987401
18135,6,644935.961623935,107489.3269373225,13531.4453245175,443690.455622055,15376.01117799538,64.4935961623935
18146,6,630004.49996642,105000.74999440333,34961.3483370825,465735.6089709,14161.09195694852,63.000449996642
18048,1,595273.93657457,595273.93657457,595273.93657457,595273.93657457,10020.645298112597,59.527393657457004
18914,1,594343.28770578,594343.28770578,594343.28770578,594343.28770578,6009.348174477993,59.434328770578
18099,1,583788.93253594,583788.93253594,583788.93253594,583788.93253594,13656.796305991327,58.37889325359399
18006,10,575638.38780028,57563.838780028,20070.4628073,200276.75849116,21446.925385258786,57.563838780028
18164,2,560606.84290292,280303.42145146,280303.42145146,468676.136066425,11874.906469807434,56.060684290291995
18046,5,547111.8837448651,109422.37674897301,127375.26591091,198150.109290805,14732.892877737144,54.711188374486504
18194,2,542368.16137027,271184.080685135,271184.080685135,509441.100276205,10850.210897938225,54.236816137027
18119,1,529627.444430285,529627.444430285,529627.444430285,529627.444430285,27854.424608430712,52.9627444430285
18097,4,504039.40004151996,126009.85001037999,67273.0289847,312890.26520806,10249.070195838882,50.403940004152
18182,5,500769.79577499,100153.959154998,48906.403094315,363841.536025405,16697.46940755136,50.076979577499
18082,7,485445.854619945,69349.40780284928,28268.866751165,288735.13361815,15053.59798332784,48.5445854619945
18088,1,479490.480755405,479490.480755405,479490.480755405,479490.480755405,7998.005439570624,47.949048075540496
18171,2,469554.56567238003,234777.28283619002,234777.28283619002,468924.098251865,10512.236002727046,46.955456567238
18061,2,402728.7183331,201364.35916655,201364.35916655,277403.16100397,12621.71820814882,40.272871833310006
18188,2,400773.508574315,200386.7542871575,200386.7542871575,325609.422800295,6400.2880284246385,40.0773508574315
