Municipios;Sexo;Periodo;Total
18001 Agrón;Total;2025;247
18002 Alamedilla;Total;2025;518
18003 Albolote;Total;2025;19.768
18004 Albondón;Total;2025;703
18006 Albuñol;Total;2025;7.388
18007 Albuñuelas;Total;2025;794
18005 Albuñán;Total;2025;422
18010 Aldeire;Total;2025;597
18011 Alfacar;Total;2025;5.834
18012 Algarinejo;Total;2025;2.335
18013 Alhama de Granada;Total;2025;5.544
18014 Alhendín;Total;2025;10.475
18015 Alicún de Ortega;Total;2025;461
18016 Almegíjar;Total;2025;327
18017 Almuñécar;Total;2025;27.544
18904 Alpujarra de la Sierra;Total;2025;933
18018 Alquife;Total;2025;543
18020 Arenas del Rey;Total;2025;608
18021 Armilla;Total;2025;25.300
18022 Atarfe;Total;2025;20.914
18023 Baza;Total;2025;20.587
18024 Beas de Granada;Total;2025;1.007
18025 Beas de Guadix;Total;2025;318
18027 Benalúa;Total;2025;3.381
18028 Benalúa de las Villas;Total;2025;1.028
18029 Benamaurel;Total;2025;2.235
18032 Bubión;Total;2025;305
18033 Busquístar;Total;2025;313
18030 Bérchules;Total;2025;688
18034 Cacín;Total;2025;549
18114 Calahorra, La;Total;2025;680
18037 Calicasas;Total;2025;687
18038 Campotéjar;Total;2025;1.218
18039 Caniles;Total;2025;3.929
18042 Capileira;Total;2025;590
18043 Carataunas;Total;2025;207
18045 Castilléjar;Total;2025;1.284
18046 Castril;Total;2025;1.927
18047 Cenes de la Vega;Total;2025;8.254
18059 Chauchina;Total;2025;5.817
18061 Chimeneas;Total;2025;1.265
18062 Churriana de la Vega;Total;2025;16.878
18048 Cijuela;Total;2025;3.827
18049 Cogollos de Guadix;Total;2025;614
18050 Cogollos de la Vega;Total;2025;2.119
18051 Colomera;Total;2025;1.278
18053 Cortes de Baza;Total;2025;1.769
18054 Cortes y Graena;Total;2025;949
18912 Cuevas del Campo;Total;2025;1.841
18035 Cádiar;Total;2025;1.491
18036 Cájar;Total;2025;5.511
18044 Cástaras;Total;2025;178
18040 Cáñar;Total;2025;424
18056 Cúllar;Total;2025;3.978
18057 Cúllar Vega;Total;2025;7.947
18063 Darro;Total;2025;1.700
18065 Dehesas Viejas;Total;2025;635
18064 Dehesas de Guadix;Total;2025;382
18066 Deifontes;Total;2025;2.612
18067 Diezma;Total;2025;829
18915 Domingo Pérez de Granada;Total;2025;822
18068 Dílar;Total;2025;2.384
