OBJECTID,codigo_ine,UGL_SG,NOMBRE,SHAPE.STArea()
3,18003,1.0,,1025643.98944358
4,18003,3.0,,44954.68683737
68,18011,5.0,,2070.05185764
69,18011,5.0,,367.59724027
70,18011,5.0,,16581.83600609
71,18011,4.0,,2945.323004135
72,18011,2.0,,1168742.807089185
73,18011,5.0,,1069.616883115
74,18011,4.0,,3917.71499863
75,18011,4.0,,603.83984537
76,18011,5.0,,931.32610965
77,18011,4.0,,955.64251251
78,18011,4.0,,2007.029487815
79,18011,5.0,,6975.481880445
80,18011,5.0,,1637.810941785
81,18011,4.0,,7475.390110165
82,18011,5.0,SGE-DO/SO,6583.20424921
83,18011,4.0,,7142.066575695
84,18011,5.0,,29040.32779679
85,18011,5.0,,269.30761695
263,18021,4.0,,2004.102590595
266,18021,4.0,,4683.177790255
268,18021,2.0,P.P.A.,118818.38114144
270,18021,4.0,,340.54985506
275,18021,4.0,,12896.96094085
280,18021,1.0,P.P.H.,47057.63622269
281,18021,3.0,P.P.CAMPUS DE LA SALUD,194992.686943455
283,18021,5.0,,10933.048376285
287,18021,4.0,,223.87020049
289,18021,1.0,U.E.10.,29937.747472895
290,18021,4.0,,151.851797
291,18021,5.0,,33327.3284796
305,18021,4.0,,148.23427657
314,18021,4.0,,909.832025415
321,18021,4.0,,158.58258574
322,18021,5.0,,10821.208763395
325,18021,4.0,,350.228894435
327,18021,4.0,,467.515962965
332,18021,1.0,P.P.E.,68824.67482969
337,18021,4.0,,2967.88936863
339,18021,1.0,,2579.150376755
346,18021,4.0,,488.3241893
347,18021,4.0,,1889.491908715
351,18021,4.0,,72.230061005
354,18021,2.0,,1777167.558640775
355,18021,2.0,,122760.381248
359,18021,1.0,,39376.83905274
454,18047,5.0,SG-D2,3719.270240185
455,18047,4.0,SG-N,2230.486201925
456,18047,5.0,SG-A3,77.59780437
457,18047,5.0,SG-D5,797.340209895
458,18047,5.0,SG-A1,565.167247095
459,18047,5.0,SG-D1,1411.45109382
460,18047,5.0,SG-C1,1670.75551694
461,18047,5.0,SG-O1,11362.22546958
462,18047,5.0,SG-D3,7737.569408735
463,18047,2.0,,727539.52340425
464,18047,6.0,,34469.11405984
465,18047,4.0,SG-P-2,1473.715218815
466,18047,5.0,SG-A2,1473.045867275
467,18047,4.0,SG-P-1,13333.74687167
468,18047,4.0,SG-P-4,1112.14336475
469,18047,4.0,SG-P-3,5232.439079595
470,18047,5.0,SG-E1,301.841695085
638,18070,2.0,,36361.038294535
736,18094,5.0,E-3,1159.33873246
737,18094,5.0,E-6,278.150765205
738,18094,4.0,EL-8,618.79098165
739,18094,5.0,E-9,590.292495565
740,18094,5.0,E-5,937.575332785
741,18094,1.0,,23919.63565566
742,18094,4.0,EL-3,878.406780725
743,18094,4.0,EL-5,642.54774503
744,18094,4.0,EL-5,398.6029125
745,18094,4.0,EL-4,751.759339965
746,18094,5.0,E-2,6753.99876798
747,18094,2.0,,353989.19084915
748,18094,5.0,E-8,2680.54020691
749,18094,5.0,E-4,3252.48593411
750,18094,5.0,E-1,1493.47415528
751,18094,4.0,EL-6,1514.26328403
752,18094,5.0,E-7,191.333482055
753,18094,5.0,E-4,165.836128775
754,18094,4.0,EL-1,267.62489678
784,18099,6.0,,12354.35244966
785,18099,5.0,E-5,1510.8037074
786,18099,5.0,E-10,3667.091077325
787,18099,4.0,EL-3,651.66009465
788,18099,4.0,EL4,765.65048527
789,18099,5.0,E-4,114.731270255
790,18099,4.0,EL-2,89.386892605
791,18099,5.0,E-2,183.59995402
792,18099,5.0,E-9,12455.125205895
793,18099,5.0,E-1,3648.804844705
794,18099,5.0,E-7,1947.76742239
795,18099,5.0,E-6,1406.613334365
796,18099,5.0,E-3,4014.1738254
797,18099,5.0,E-8,10450.39986043
798,18099,4.0,EL-1,77.865514245
799,18099,2.0,,583788.93253594
1105,18127,4.0,,34509.37946761
1106,18127,5.0,,544.097006015
1107,18127,4.0,,206.053674335
1108,18127,4.0,,3970.861642575
1109,18127,4.0,,574.98445241
1110,18127,4.0,,328.03322901
1111,18127,4.0,,1186.317215505
1112,18127,5.0,,11262.787632705
1113,18127,5.0,,954.873834025
1114,18127,4.0,,1518.782958025
1115,18127,4.0,,591.67332813
1116,18127,5.0,,34444.797962445
1117,18127,4.0,,297.131059865
1118,18127,5.0,,1831.65909918
1119,18127,5.0,,3190.600766115
1120,18127,5.0,,5711.25910495
1121,18127,4.0,,2893.264174425
1122,18127,4.0,,139.15329934
1123,18127,5.0,,2583.215770585
1124,18127,4.0,,1490.800295345
1125,18127,5.0,,4439.275744335
1126,18127,13.0,,2356.90772723
1127,18127,5.0,,4007.4261131
1128,18127,5.0,,640.71074585
1129,18127,1.0,,1010.398339785
1130,18127,13.0,,4675.853359905
1131,18127,4.0,,832.36179752
1132,18127,4.0,,947.28656072
1133,18127,5.0,,1377.355281735
1134,18127,4.0,,244.426172285
1135,18127,1.0,,531.40243398
1136,18127,4.0,,1139.695128715
1137,18127,2.0,,1957.31787393
1138,18127,4.0,,2270.04013751
1139,18127,13.0,,35998.101108975
1140,18127,5.0,,18444.30784718
1141,18127,13.0,,7073.147598235
1142,18127,2.0,UE-1,5578.609411575
1143,18127,4.0,,158.445637455
1144,18127,5.0,,761.047132505
1145,18127,1.0,,51431.129234735
1146,18127,4.0,,7977.867459775
1147,18127,1.0,,4251.172873085
1148,18127,2.0,UEU-13,57158.663850375
1149,18127,4.0,,489.202797345
1150,18127,5.0,,15142.53256554
1151,18127,5.0,,9790.245519515
1152,18127,5.0,,799.859169405
1153,18127,5.0,,14871.3420266
1154,18127,2.0,,1169108.105312765
1155,18127,4.0,,191.22764414
1156,18127,4.0,,314.75184288
1157,18127,5.0,,609.73612651
1158,18127,5.0,,5158.575691155
1159,18127,4.0,,3540.92018967
1160,18127,4.0,,76.822426345
1161,18127,4.0,,430.575249205
1162,18127,4.0,,2390.047628425
1163,18127,13.0,,7918.47595232
1460,18157,4.0,,2283.545691615
1461,18157,2.0,,210495.863056425
1462,18157,1.0,,1840.854742555
1463,18157,4.0,,1621.264595875
1464,18157,4.0,,23591.543659905
1465,18157,2.0,,100796.29513844
1466,18157,4.0,,1814.370150335
1467,18157,4.0,,1944.12145699
1468,18157,4.0,,1765.72300712
1469,18157,4.0,,1407.74405078
1594,18165,2.0,,774214.994427165
1595,18165,10.0,,155711.00237965
1596,18165,1.0,,393656.43648703
1680,18189,2.0,,270579.48029726
1729,18905,4.0,,8310.360110905
1742,18905,2.0,,3682034.79609754
1757,18905,6.0,,453.74248737
1803,18911,2.0,,507042.1827857
1804,18911,4.0,SG.EL-7,10065.92574569
1808,18911,4.0,SG.EL-11,5384.632875595
1809,18911,1.0,,45252.827846635
1810,18911,5.0,SG.D-6,6068.186323
1811,18911,2.0,,1126050.49204845
1813,18911,2.0,,312818.708409205
1814,18911,5.0,SG.D-10,10564.70733217
1818,18911,5.0,SG.D-12,1460.4292834
1820,18911,4.0,SG.EL-14,2002.02257075
1823,18911,4.0,SG.EL-12,2271.722929385
1824,18911,5.0,SG.D-8,475.042465065
1825,18911,5.0,SG.D-11,1505.630166475
1826,18911,5.0,SG.D-7,8625.34281716
1827,18911,5.0,SG.D-14,2216.833507345
1828,18911,5.0,SG.D-13,201.52847323
1829,18911,4.0,SG.EL-13,1616.666886335
1867,18003,4.0,,232244.091484555
1868,18003,5.0,,189830.227993085
1869,18003,2.0,,2949835.53132449
1870,18003,6.0,,7409.440503875
1888,18024,,,5507.254396825
1889,18024,2.0,,189223.652450875
1898,18047,,,5455.666060175
1988,18062,2.0,,1834448.24297774
1990,18062,4.0,SG-EL-06,17834.70847227
1991,18062,1.0,,86772.765671275
1998,18022,2.0,,3364039.55098121
2001,18022,1.0,,1146305.69701433
2010,18022,4.0,SG-EL-02,10393.42135884
2018,18168,2.0,,253625.40719815
2019,18057,2.0,,1547283.237678565
2020,18057,5.0,SGEQ-8,700.131442005
2021,18057,5.0,SGEQ-5,5526.64277413
2022,18057,4.0,SGEL-6,922.424554975
2023,18057,1.0,,13678.690327
2024,18057,4.0,SGEL-8,583.049854615
2025,18057,4.0,SGEL-5,856.54707793
2027,18057,5.0,SGEQ-4,7982.98202119
2029,18057,4.0,SGEL-4,14861.59914249
2030,18057,4.0,SGEL-7,1247.73299475
2031,18057,5.0,SGEQ-7,1786.530841635
2032,18057,5.0,SGEQ-9,2024.27954866
2033,18057,5.0,SGEQ-6,1964.581123345
2038,18057,6.0,,21969.966347615
2039,18057,2.0,,0.00308425
2040,18057,6.0, ,326.8266162
2043,18101,6.0,,16206.155230055
2044,18101,2.0,,1933186.52989877
2045,18101,4.0,,75442.38465494
2046,18101,5.0,,88717.70163714
2047,18111,1.0,,102214.44619956
2048,18111,4.0,L-3,13067.202058715
2049,18111,4.0,L-4,11511.30807603
2050,18111,2.0,,900425.215286675
2111,18153,2.0,,1531749.347543945
2112,18153,5.0,E.L.9,135.095677915
2113,18153,5.0,E.L.10,81.158826395
2114,18153,4.0,E.L.4,483.772758935
2115,18153,1.0,,1275347.393864955
2116,18153,6.0,A-92,962.497396205
2117,18153,5.0,E.C.15,1233.6024877
2118,18153,5.0,E.C.8,2194.389514325
2119,18153,4.0,E.L.1,6557.446560995
2120,18153,5.0,,1334.870142825
2121,18153,4.0,E.L.7,2208.52103232
2122,18153,4.0,E.L.3,240.561385045
2123,18153,5.0,E.C.6,751.85131963
2124,18153,4.0,E.L.6,2329.331176415
2125,18153,4.0,E.L.7,22167.69159405
2126,18153,6.0,A-92,113.68596563
2127,18153,5.0,E.C.11,300.72619329
2128,18153,5.0,E.C.5,34420.891964165
2129,18153,5.0,E.C.3,14580.64696203
2130,18153,5.0,E.C.1,2953.98903259
2131,18153,4.0,E.L.8,51607.69288506
2132,18153,5.0,E.C.7,322.58654082
2133,18153,4.0,,7517.372862945
2134,18153,4.0,E.L.5,17602.6614937
2135,18153,5.0,E.C.14,880.80683196
2136,18153,5.0,E.C.2,5990.52526941
2137,18153,5.0,E.C.12,725.025457135
2138,18153,6.0,,44339.64660433
2139,18153,5.0,E.C.4,11253.53285238
2140,18153,4.0,E.L.2,1868.512938715
2410,18153,5.0,S.G. Avd 1º de Mayo,20475.733997115
