OBJECTID,codigo_ine,UGL_SG,NOMBRE,area_m2,SHAPE.STLength(),uso_suelo
1,18001,2.0,,62405.076949095,1185.3824648304155,Residencial
2,18002,2.0,,150962.6123494,2758.682337403622,Residencial
5,18004,2.0,,213613.192790615,1948.351037674003,Residencial
10,18006,2.0,,7759.425632205,371.89893098367963,Residencial
13,18006,2.0,,10586.5207745,492.2289977185838,Residencial
25,18006,2.0,,200276.75849116,7958.746518102965,Residencial
26,18006,2.0,,27307.13461737,1071.030656582436,Residencial
33,18006,2.0,,185964.65120546,5798.141279163937,Residencial
37,18006,2.0,,12833.79099723,474.18529373679627,Residencial
40,18006,2.0,,66070.43358145,1643.6707300145763,Residencial
41,18006,2.0,,3594.00249556,251.04816984448144,Residencial
42,18006,2.0,,52566.6128412,2826.986123563446,Residencial
45,18006,2.0,,8679.057164145,558.9886855478861,Residencial
46,18007,2.0,,20108.55792657,753.1528355720277,Residencial
52,18007,2.0,,147248.44676461,4880.915159762371,Residencial
60,18010,2.0,,207568.37338474,8322.496923578463,Residencial
67,18010,2.0,,3926.10472201,538.2935353757706,Residencial
72,18011,2.0,,1168742.807089185,21581.511910370948,Residencial
91,18012,2.0,,66131.069456485,2493.961332112189,Residencial
92,18012,2.0,,223082.12521285,7041.688430578611,Residencial
95,18012,2.0,,49500.65562694,1522.8447493636515,Residencial
102,18013,2.0,,1960.588916005,206.30810694720986,Residencial
106,18013,2.0,,32031.06669603,1041.8736069736242,Residencial
114,18013,2.0,,176751.713498935,6092.284803641033,Residencial
115,18013,2.0,,621286.61306241,10572.907221096752,Residencial
116,18013,2.0,,29001.64959846,878.9902793228498,Residencial
124,18014,2.0,,103170.253850025,1644.6600361767623,Residencial
125,18014,2.0,,40382.140294185,850.267171528996,Residencial
126,18014,2.0,,16027.774990985,540.9689291704843,Residencial
127,18014,2.0,,53778.967975175,1157.6987181573502,Residencial
128,18014,2.0,,59991.370541905,1057.0506626992121,Residencial
129,18014,2.0,,903540.70085517,12523.580919289281,Residencial
130,18015,2.0,,145957.386680535,3162.99997940338,Residencial
137,18017,2.0,SUC-PDU-P4,48091.02019207,1185.1718730512898,Residencial
158,18017,2.0,SUC-CA,20666.24381969,800.4007288408026,Residencial
160,18017,2.0,SUC-PDU-P4,105109.03967088,2763.778036665157,Residencial
162,18017,2.0,SUC-PDU-P16,100836.67441354,1480.6858545610844,Residencial
177,18017,2.0,SUC-PDU-P7 MARINA DEL ESTE,41015.952359605,887.2851381037237,Residencial
180,18017,2.0,SUC-CA,259450.064784265,9208.281647352209,Residencial
181,18017,2.0,SUC-PDU-CERCADO,77117.289149625,1731.8246637547538,Residencial
192,18017,2.0,SUC-PDU-P1,219199.51979068,3422.0415627982484,Residencial
195,18017,2.0,SUC-PDU-P9,64550.88534804,1474.7038361285563,Residencial
200,18017,2.0,SUC-PDU-CITALSOL,31478.481452065,1227.0477292968808,Residencial
213,18017,2.0,SUC-PDU-CITALSOL,35065.48452241,1081.0657543198502,Residencial
227,18017,2.0,SUC-PDU-P10 LAS PALOMAS,203024.42878872,2057.8753523705604,Residencial
241,18017,2.0,SUC-CA,434641.187886985,10540.609081370252,Residencial
243,18017,2.0,SUC-PDU-LAS MARAVILLAS,56756.62706171,1197.5575648122378,Residencial
255,18018,2.0,,11820.98892573,543.1908284998522,Residencial
258,18018,2.0,,266595.801788045,7953.926743262807,Residencial
259,18020,2.0,,165960.05815871,2752.8698246214135,Residencial
260,18020,2.0,,115414.270774185,2886.5211690708684,Residencial
261,18077,2.0,,121467.22449909,2858.2005940054532,Residencial
268,18021,2.0,P.P.A.,118818.38114144,2362.4546188865243,Residencial
354,18021,2.0,,1777167.558640775,24690.864233908025,Residencial
